file	frontend/components/exam/reading-exam-preview.tsx
component	ReadingExamPreview
start	996
end	5265

index	kind	start	end	lines	names	local_refs	all_refs
72	derived	1234	1234	1	currentParagraphs	currentSection,examData	currentSection,examData
73	derived	1235	1235	1	currentQuestionGroups	currentSection,examData	currentSection,examData
74	derived	1236	1236	1	currentQuestions	allQuestions,currentSection	allQuestions,currentSection
75	derived	1237	1237	1	isListeningPreview	examData	examData
76	derived	1238	1238	1	isExamMode		mode
77	derived	1239	1239	1	isReviewMode		mode
78	derived	1240	1240	1	isSinglePaneListeningMode	isListeningPreview,isReviewMode	isListeningPreview,isReviewMode
79	derived	1241	1241	1	isStrictListeningExam	isExamMode,isSinglePaneListeningMode	isExamMode,isSinglePaneListeningMode
80	derived	1242	1244	3	timedSectionId	activeSectionId,isStrictListeningExam,strictListeningAudioSectionId,strictListeningPhase	activeSectionId,isStrictListeningExam,strictListeningAudioSectionId,strictListeningPhase
81	derived	1245	1245	1	currentTranscriptSegments	currentSection	currentSection
82	derived	1246	1246	1	currentTranscriptQuestionLocations	currentSection	currentSection
83	memo	1247	1250	4	strictListeningAudioSection	previewSections,strictListeningAudioSectionId	previewSections,strictListeningAudioSectionId,useMemo
84	derived	1251	1251	1	reviewItems	examData	examData
85	memo	1254	1266	13	reviewQuoteList	examData,isReviewMode	Object,Set,examData,isReviewMode,useMemo
86	derived	1267	1267	1	candidateName	hasMounted,storedCandidateName	hasMounted,storedCandidateName
87	state	1268	1268	1	showListeningTranscript,setShowListeningTranscript		useState
88	state	1269	1269	1	showTranscriptAnswerLocations,setShowTranscriptAnswerLocations		useState
89	effect	1271	1273	3		setHasMounted	setHasMounted,useEffect
90	effect	1275	1292	18		hasExamFullscreenSessionRef,isExamMode,isReviewMode,isSubmitted	document,hasExamFullscreenSessionRef,isExamMode,isReviewMode,isSubmitted,useEffect
91	effect	1294	1380	87		activeSectionTimerRef,dialogResetKey,examData,hasExamFullscreenSessionRef,ignoreNextFullscreenExitRef,initialQuestionId,initialReviewTarget,initialSectionId,isReviewMode,latestAnswersRef,latestProgressRef,pendingAnswerValuesRef,previewSections,previousDialogResetKeyRef,readAttemptBackup,resetWallClockTimer,sectionTimeSpentSecondsRef,setActiveQuestionId,setActiveSectionId,setAnswers,setFontScale,setFullscreenDialogStage,setFullscreenExitCountdown,setIsSubmitted,setIsSubmitting,setShowListeningTranscript,setShowPassageQuestionNav,setShowTranscriptAnswerLocations,setSplitRatio,setStrictListeningAudioSectionId,setStrictListeningElapsedSeconds,setStrictListeningIsPlaying,setStrictListeningPhase,setStrictListeningPlaybackBlocked,setStrictListeningTransferLeft,setSyncState,setTextHighlights,setTheme,setTimeLeft,strictListeningCompletedAudioRef,updateActiveDialog	Boolean,Date,LISTENING_TRANSFER_SECONDS,Math,Object,activeSectionTimerRef,clampFontScale,clampSplitRatio,dialogResetKey,document,examData,findSectionIdForQuestion,getDocumentTheme,hasExamFullscreenSessionRef,ignoreNextFullscreenExitRef,initialQuestionId,initialReviewTarget,initialSectionId,isReviewMode,latestAnswersRef,latestProgressRef,mergeSectionTimeSpentSeconds,mode,pendingAnswerValuesRef,previewSections,previousDialogResetKeyRef,readAttemptBackup,resetWallClockTimer,sectionTimeSpentSecondsRef,setActiveQuestionId,setActiveSectionId,setAnswers,setFontScale,setFullscreenDialogStage,setFullscreenExitCountdown,setIsSubmitted,setIsSubmitting,setShowListeningTranscript,setShowPassageQuestionNav,setShowTranscriptAnswerLocations,setSplitRatio,setStrictListeningAudioSectionId,setStrictListeningElapsedSeconds,setStrictListeningIsPlaying,setStrictListeningPhase,setStrictListeningPlaybackBlocked,setStrictListeningTransferLeft,setSyncState,setTextHighlights,setTheme,setTimeLeft,strictListeningCompletedAudioRef,undefined,updateActiveDialog,useEffect
92	effect	1382	1410	29		activeSectionId,initialReviewTarget,isReviewMode,questionPaneRef	HTMLElement,activeSectionId,document,initialReviewTarget,isReviewMode,questionPaneRef,useEffect,window
93	effect	1412	1482	71		accessToken,activeDialogRef,examData,fullscreenDialogStage,hasExamFullscreenSessionRef,ignoreNextFullscreenExitRef,isExamMode,isSubmitted,isSubmitting,setFullscreenDialogStage,setFullscreenExitCountdown,setIsFullscreen,updateActiveDialog	Boolean,JSON,accessToken,activeDialogRef,attemptApiBaseUrl,buildAttemptRequestHeaders,document,examData,fetchInternalUserApi,fullscreenDialogStage,hasExamFullscreenSessionRef,ignoreNextFullscreenExitRef,isExamMode,isSubmitted,isSubmitting,setFullscreenDialogStage,setFullscreenExitCountdown,setIsFullscreen,undefined,updateActiveDialog,useEffect,window
94	effect	1484	1516	33		examData,isReviewMode,isStrictListeningExam,isSubmitted,setStrictListeningElapsedSeconds,setStrictListeningTransferLeft,setTimeLeft,strictListeningPhase,wallClockTimeSpentSeconds	Math,examData,isReviewMode,isStrictListeningExam,isSubmitted,mode,setStrictListeningElapsedSeconds,setStrictListeningTransferLeft,setTimeLeft,strictListeningPhase,useEffect,wallClockTimeSpentSeconds,window
95	effect	1518	1525	8		isStrictListeningExam,isSubmitted,submitAttempt,timeLeft	isStrictListeningExam,isSubmitted,mode,submitAttempt,timeLeft,useEffect
