file	frontend/app/(app)/speaking/speaking-page-client.tsx
component	useSpeakingLiveSession
start	793
end	1575

index	kind	start	end	lines	names	local_refs	all_refs
54	callback	1043	1051	9	getMicTurnHandlers	aiModeRef,clearNoAnswerTimer,closeInputTurn	MIN_SPEECH_MS_BEFORE_SILENCE_END,ROAST_SPEECH_END_SILENCE_MS,SPEECH_END_SILENCE_MS,aiModeRef,clearNoAnswerTimer,closeInputTurn,useCallback
55	callback	1053	1074	22	fetchResult	api,releaseAudioRuntime,setError,setResult,setStatus,statusRef	Error,api,releaseAudioRuntime,sessionId,setError,setResult,setStatus,statusRef,useCallback,window
56	callback	1076	1096	21	stop	fetchResult,hasStartedInterviewRef,releaseAudioRuntime,setStatus,stoppedRef,wsRef	JSON,WebSocket,aiMode,fetchResult,hasStartedInterviewRef,releaseAudioRuntime,setStatus,stoppedRef,useCallback,window,wsRef
57	effect	1098	1100	3		stop,stopRef	stop,stopRef,useEffect
58	callback	1102	1136	35	discard	api,deletingSessionRef,examinerTranscriptRef,hasStartedInterviewRef,isDeletingSession,releaseAudioRuntime,setError,setExaminerTranscript,setIsDeletingSession,setIsInterviewStarted,setMicError,setResult,setStatus,setUserTranscript,stoppedRef,wsRef	Error,Promise,WebSocket,api,deletingSessionRef,examinerTranscriptRef,hasStartedInterviewRef,isDeletingSession,releaseAudioRuntime,sessionId,setError,setExaminerTranscript,setIsDeletingSession,setIsInterviewStarted,setMicError,setResult,setStatus,setUserTranscript,stoppedRef,useCallback,wsRef
59	callback	1138	1143	6	sendText	wsRef	JSON,WebSocket,useCallback,wsRef
60	callback	1145	1188	44	startMicRuntime	audioRef,audioStartGenerationRef,canStreamInput,getMicTurnHandlers,hasStartedInterviewRef,isStartingAudioRef,isStartingMic,setInputLevel,setIsRecording,setIsStartingMic,setMicError,stoppedRef,wsRef	Error,WebSocket,audioRef,audioStartGenerationRef,canStreamInput,getMicTurnHandlers,hasStartedInterviewRef,isStartingAudioRef,isStartingMic,setInputLevel,setIsRecording,setIsStartingMic,setMicError,startAudioRuntime,stopAudioRuntime,stoppedRef,useCallback,wsRef
61	callback	1190	1214	25	beginInterview	hasStartedInterviewRef,isDeletingSession,isInputTurnOpenRef,liveConfigRef,outputAudioRef,setElapsedSeconds,setError,setInputTurnOpen,setIsInterviewStarted,setLiveStatus,wsRef	Error,JSON,WebSocket,hasStartedInterviewRef,isDeletingSession,isInputTurnOpenRef,liveConfigRef,outputAudioRef,setElapsedSeconds,setError,setInputTurnOpen,setIsInterviewStarted,setLiveStatus,startOutputRuntime,undefined,useCallback,wsRef
62	callback	1216	1222	7	startMic	beginInterview,hasStartedInterviewRef,startMicRuntime	beginInterview,hasStartedInterviewRef,startMicRuntime,useCallback
63	ref	1224	1241	18	liveSessionHandlersRef	beginInterview,canStreamInput,clearNoAnswerTimer,clearYourTurnTimer,closeInputTurn,closeInputTurnState,fetchResult,getMicTurnHandlers,interruptUserTurnForExaminer,openInputTurn,releaseAudioRuntime,resumeBrowserAudioContexts,scheduleExaminerSpeechWatch,scheduleNoAnswerPrompt,scheduleOpenInputTurn,setLiveStatus	beginInterview,canStreamInput,clearNoAnswerTimer,clearYourTurnTimer,closeInputTurn,closeInputTurnState,fetchResult,getMicTurnHandlers,interruptUserTurnForExaminer,openInputTurn,releaseAudioRuntime,resumeBrowserAudioContexts,scheduleExaminerSpeechWatch,scheduleNoAnswerPrompt,scheduleOpenInputTurn,setLiveStatus,useRef
64	ExpressionStatement	1242	1259	18		beginInterview,canStreamInput,clearNoAnswerTimer,clearYourTurnTimer,closeInputTurn,closeInputTurnState,fetchResult,getMicTurnHandlers,interruptUserTurnForExaminer,liveSessionHandlersRef,openInputTurn,releaseAudioRuntime,resumeBrowserAudioContexts,scheduleExaminerSpeechWatch,scheduleNoAnswerPrompt,scheduleOpenInputTurn,setLiveStatus	beginInterview,canStreamInput,clearNoAnswerTimer,clearYourTurnTimer,closeInputTurn,closeInputTurnState,fetchResult,getMicTurnHandlers,interruptUserTurnForExaminer,liveSessionHandlersRef,openInputTurn,releaseAudioRuntime,resumeBrowserAudioContexts,scheduleExaminerSpeechWatch,scheduleNoAnswerPrompt,scheduleOpenInputTurn,setLiveStatus
65	effect	1261	1267	7		liveSessionHandlersRef	liveSessionHandlersRef,useEffect,window
66	effect	1269	1540	272		aiModeRef,audioRef,audioStartGenerationRef,clearNoAnswerTimer,deletingSessionRef,ensureBrowserAudioRef,examinerTranscriptRef,hasStartedInterviewRef,isInputTurnOpenRef,isStartingAudioRef,liveSessionHandlersRef,outputAudioRef,setElapsedSeconds,setError,setExaminerTranscript,setInputLevel,setInputTurnOpen,setIsInterviewStarted,setIsRecording,setIsStartingMic,setLiveStatus,setMicError,setPlannedQuestionCount,setResult,setTurnCount,setUserTranscript,statusRef,stoppedRef,wsRef	Error,JSON,PART_1_QUESTION_COUNT,URL,WebSocket,aiModeRef,audioRef,audioStartGenerationRef,clearNoAnswerTimer,deletingSessionRef,ensureBrowserAudioRef,examinerTranscriptRef,getFrontendClientWebSocketApiBaseUrl,getLiveMessageString,hasStartedInterviewRef,isInputTurnOpenRef,isStartingAudioRef,liveSessionHandlersRef,mergeTranscript,outputAudioRef,parseLiveMessage,playPcmAudio,sessionId,setElapsedSeconds,setError,setExaminerTranscript,setInputLevel,setInputTurnOpen,setIsInterviewStarted,setIsRecording,setIsStartingMic,setLiveStatus,setMicError,setPlannedQuestionCount,setResult,setTurnCount,setUserTranscript,startAudioRuntime,startOutputRuntime,statusRef,stopAudioRuntime,stoppedRef,undefined,useAuthStore,useEffect,window,wsRef
67	effect	1542	1544	3		status,statusRef	status,statusRef,useEffect
68	effect	1546	1550	5		releaseAudioRuntime,result	releaseAudioRuntime,result,useEffect
69	return	1552	1574	23		beginInterview,discard,elapsedSeconds,error,examinerTranscript,finishAnswer,inputLevel,inputTurnOpen,isDeletingSession,isInterviewStarted,isRecording,isStartingMic,micError,plannedQuestionCount,result,sendText,startMic,status,stop,turnCount,userTranscript	beginInterview,discard,elapsedSeconds,error,examinerTranscript,finishAnswer,inputLevel,inputTurnOpen,isDeletingSession,isInterviewStarted,isRecording,isStartingMic,micError,plannedQuestionCount,result,sendText,startMic,status,stop,turnCount,userTranscript

ROOT_JSX
index	start	end	lines	kind	refs
